time,open,close,outcome_up,strategy,side,model_prob_up,market_prob_up,edge,vol_regime,imbalance,momentum_signal,reason,won,stake,pnl
2026-02-23 18:45:00,64891.99,64635.49,False,momentum,,0.49991546691195377,0.5,-8.453308804623472e-05,TRADE,0.0,-0.00016906617609249247,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 19:00:00,64635.49,64698.0,True,momentum,DOWN,0.49933013452735836,0.5,-0.0006698654726416398,TRADE,0.0,-0.0013397309452832938,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-23 19:15:00,64698.0,64463.84,False,momentum,,0.4998828147866839,0.5,-0.00011718521331610665,TRADE,0.0,-0.00023437042663221517,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 19:30:00,64463.84,64213.24,False,momentum,DOWN,0.49934726177889693,0.5,-0.0006527382211030663,TRADE,0.0,-0.0013054764422060943,edge -0.001 < -threshold 0.000,True,10.0,10.0
2026-02-23 19:45:00,64213.24,64295.1,True,momentum,DOWN,0.4992972204000494,0.5,-0.0007027795999505759,TRADE,0.0,-0.0014055591999011551,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-23 20:00:00,64295.11,63961.55,False,momentum,,0.5001159149924442,0.5,0.00011591499244423265,TRADE,0.0,0.00023182998488855707,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 20:15:00,63961.56,64004.36,True,momentum,DOWN,0.4989546416025233,0.5,-0.0010453583974767144,TRADE,0.0,-0.002090716794953441,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-23 20:30:00,64004.35,64269.42,True,momentum,,0.499844064689507,0.5,-0.00015593531049301612,TRADE,0.0,-0.00031187062098602086,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 20:45:00,64269.42,64473.14,True,momentum,UP,0.5003948481067219,0.5,0.0003948481067218568,TRADE,0.0,0.000789696213443722,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-23 21:00:00,64473.14,64599.99,True,momentum,UP,0.5007363494497286,0.5,0.0007363494497285572,TRADE,0.0,0.0014726988994571354,edge +0.001 > threshold 0.000,True,10.0,10.0
2026-02-23 21:15:00,64600.0,64558.27,False,momentum,,0.5003674976520912,0.5,0.00036749765209120877,SIT_OUT,0.0,0.0007349953041823265,sit out: volatility regime,,0.0,0.0
2026-02-23 21:30:00,64558.27,64649.68,True,momentum,,0.4999150969679242,0.5,-8.490303207581151e-05,TRADE,0.0,-0.0001698060641516683,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 21:45:00,64649.67,64580.66,False,momentum,,0.5003541446560399,0.5,0.00035414465603988976,SIT_OUT,0.0,0.0007082893120797089,sit out: volatility regime,,0.0,0.0
2026-02-23 22:00:00,64580.66,64968.59,True,momentum,,0.4997634428130146,0.5,-0.00023655718698539774,TRADE,0.0,-0.00047311437397077444,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 22:15:00,64968.59,64941.99,False,momentum,UP,0.500988182105737,0.5,0.0009881821057370344,TRADE,0.0,0.001976364211474036,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-23 22:30:00,64942.0,64794.5,False,momentum,,0.5001602777506085,0.5,0.00016027775060845073,TRADE,0.0,0.00032055550121684145,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 22:45:00,64794.49,64725.56,False,momentum,DOWN,0.4996893306816499,0.5,-0.0003106693183501097,TRADE,0.0,-0.0006213386367002575,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-23 23:00:00,64725.56,64860.22,True,momentum,DOWN,0.49961338291620144,0.5,-0.0003866170837985572,TRADE,0.0,-0.000773234167597138,edge -0.000 < -threshold 0.000,False,10.0,-10.0
2026-02-23 23:15:00,64860.23,64839.94,False,momentum,,0.500281887321867,0.5,0.0002818873218669582,SIT_OUT,0.0,0.0005637746437339364,sit out: volatility regime,,0.0,0.0
2026-02-23 23:30:00,64839.93,64621.91,False,momentum,,0.5000210715177402,0.5,2.10715177402232e-05,SIT_OUT,0.0,4.214303548040761e-05,sit out: volatility regime,,0.0,0.0
2026-02-23 23:45:00,64621.95,64656.02,True,momentum,,0.4993038912890425,0.5,-0.0006961087109574882,SIT_OUT,0.0,-0.0013922174219149802,sit out: volatility regime,,0.0,0.0
2026-02-24 00:00:00,64656.01,64895.02,True,momentum,,0.5001149687558875,0.5,0.00011496875588745681,TRADE,0.0,0.00022993751177499396,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 00:15:00,64895.01,64858.78,False,momentum,,0.5007564012049112,0.5,0.0007564012049111613,SIT_OUT,0.0,0.0015128024098223663,sit out: volatility regime,,0.0,0.0
2026-02-24 00:30:00,64858.77,64918.95,True,momentum,,0.49998876560489924,0.5,-1.1234395100756522e-05,SIT_OUT,0.0,-2.2468790201458333e-05,sit out: volatility regime,,0.0,0.0
2026-02-24 00:45:00,64918.94,64941.43,True,momentum,,0.5001738258204946,0.5,0.00017382582049463302,SIT_OUT,0.0,0.000347651640989375,sit out: volatility regime,,0.0,0.0
2026-02-24 01:00:00,64941.42,64324.95,False,momentum,,0.49991377398614806,0.5,-8.622601385194217e-05,TRADE,0.0,-0.00017245202770388212,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 01:15:00,64324.95,64432.9,True,momentum,DOWN,0.49771608322937155,0.5,-0.002283916770628447,TRADE,0.0,-0.004567833541256854,edge -0.002 < -threshold 0.000,False,10.0,-10.0
2026-02-24 01:30:00,64432.89,64334.0,False,momentum,UP,0.500767257640493,0.5,0.0007672576404930131,TRADE,0.0,0.0015345152809860436,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-24 01:45:00,64334.01,64160.27,False,momentum,,0.4999213435357354,0.5,-7.86564642645815e-05,TRADE,0.0,-0.00015731292852914978,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 02:00:00,64160.26,64245.23,True,momentum,DOWN,0.4994432602005079,0.5,-0.0005567397994921119,TRADE,0.0,-0.0011134795989842248,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-24 02:15:00,64245.24,64313.72,True,momentum,UP,0.5002768481990316,0.5,0.0002768481990316207,TRADE,0.0,0.0005536963980632504,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 02:30:00,64313.73,64132.43,False,momentum,UP,0.5005570555991093,0.5,0.0005570555991093462,TRADE,0.0,0.001114111198218729,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-24 02:45:00,64132.42,64109.81,False,momentum,DOWN,0.49948068049534056,0.5,-0.0005193195046594434,TRADE,0.0,-0.0010386390093188552,edge -0.001 < -threshold 0.000,True,10.0,10.0
2026-02-24 03:00:00,64109.8,63685.23,False,momentum,DOWN,0.4996969271871966,0.5,-0.0003030728128033955,TRADE,0.0,-0.0006061456256068405,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-24 03:15:00,63685.23,63705.78,True,momentum,DOWN,0.49883636896582706,0.5,-0.0011636310341729406,TRADE,0.0,-0.0023272620683459275,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-24 03:30:00,63705.79,63672.47,False,momentum,DOWN,0.4996866216435543,0.5,-0.00031337835644568157,TRADE,0.0,-0.0006267567128913242,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-24 03:45:00,63672.47,63595.51,False,momentum,,0.49985216556925355,0.5,-0.00014783443074645186,TRADE,0.0,-0.00029566886149286903,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 04:00:00,63595.51,63012.06,False,momentum,,0.49986685448507895,0.5,-0.00013314551492105142,TRADE,0.0,-0.00026629102984209786,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 04:15:00,63012.06,63220.71,True,momentum,DOWN,0.49815830581976006,0.5,-0.001841694180239939,TRADE,0.0,-0.0036833883604798375,edge -0.002 < -threshold 0.000,False,10.0,-10.0
2026-02-24 04:30:00,63220.71,63338.78,True,momentum,,0.4998275509993673,0.5,-0.00017244900063267954,TRADE,0.0,-0.00034489800126532086,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 04:45:00,63338.78,63378.84,True,momentum,UP,0.5005267721357678,0.5,0.0005267721357677946,TRADE,0.0,0.0010535442715356254,edge +0.001 > threshold 0.000,True,10.0,10.0
2026-02-24 05:00:00,63378.84,63497.07,True,momentum,,0.5001972088294474,0.5,0.00019720882944740392,TRADE,0.0,0.0003944176588948185,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 05:15:00,63497.06,62820.77,False,momentum,UP,0.500340069488301,0.5,0.00034006948830100914,TRADE,0.0,0.0006801389766020499,edge +0.000 > threshold 0.000,False,10.0,-10.0
2026-02-24 05:30:00,62820.77,62989.98,True,momentum,DOWN,0.4983009116687483,0.5,-0.001699088331251708,TRADE,0.0,-0.00339817666250346,edge -0.002 < -threshold 0.000,False,10.0,-10.0
2026-02-24 05:45:00,62989.99,63104.79,True,momentum,,0.4999547548726163,0.5,-4.5245127383686246e-05,TRADE,0.0,-9.049025476731919e-05,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 06:00:00,63104.79,63145.35,True,momentum,UP,0.50031902032727,0.5,0.0003190203272700476,TRADE,0.0,0.0006380406545401376,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 06:15:00,63145.36,63211.11,True,momentum,UP,0.5004160627984613,0.5,0.0004160627984612919,TRADE,0.0,0.0008321255969225275,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 06:30:00,63211.11,63260.01,True,momentum,UP,0.5002624381027438,0.5,0.00026243810274384494,TRADE,0.0,0.0005248762054877073,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 06:45:00,63260.01,63082.79,False,momentum,,0.4999989405498591,0.5,-1.05945014089448e-06,TRADE,0.0,-2.1189002817849613e-06,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 07:00:00,63082.79,63327.48,True,momentum,DOWN,0.49964702931986593,0.5,-0.0003529706801340682,TRADE,0.0,-0.0007059413602681726,edge -0.000 < -threshold 0.000,False,10.0,-10.0
2026-02-24 07:15:00,63327.48,63274.86,False,momentum,UP,0.5007268022835687,0.5,0.0007268022835686949,TRADE,0.0,0.0014536045671374657,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-24 07:30:00,63274.87,63096.48,False,momentum,,0.5002159518034166,0.5,0.00021595180341660303,TRADE,0.0,0.00043190360683322763,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 07:45:00,63096.47,63192.96,True,momentum,DOWN,0.4994949052689304,0.5,-0.0005050947310695775,TRADE,0.0,-0.001010189462139185,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-24 08:00:00,63192.79,63218.67,True,momentum,,0.5001894082340098,0.5,0.00018940823400981355,TRADE,0.0,0.0003788164680197159,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 08:15:00,63218.66,63298.21,True,momentum,UP,0.5003223053313944,0.5,0.0003223053313944346,TRADE,0.0,0.0006446106627889348,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 08:30:00,63298.21,63381.79,True,momentum,UP,0.5004197183357435,0.5,0.0004197183357435019,TRADE,0.0,0.0008394366714868956,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-24 08:45:00,63381.79,63392.15,True,momentum,,0.5003899373784676,0.5,0.00038993737846759746,SIT_OUT,0.0,0.0007798747569351017,sit out: volatility regime,,0.0,0.0
2026-02-24 09:00:00,63392.15,63285.29,False,momentum,,0.5001883604233547,0.5,0.00018836042335468317,TRADE,0.0,0.00037672084670944554,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 09:15:00,63285.29,63144.83,False,momentum,,0.4997140833534838,0.5,-0.0002859166465162266,SIT_OUT,0.0,-0.0005718332930324078,sit out: volatility regime,,0.0,0.0
2026-02-24 09:30:00,63144.83,63150.18,True,momentum,DOWN,0.49967827441656903,0.5,-0.00032172558343096513,TRADE,0.0,-0.000643451166861897,edge -0.000 < -threshold 0.000,False,10.0,-10.0
2026-02-24 09:45:00,63150.18,63249.99,True,momentum,,0.5000473967233632,0.5,4.7396723363180016e-05,TRADE,0.0,9.479344672636023e-05,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 10:00:00,63250.0,63219.31,False,momentum,,0.5002395448038058,0.5,0.00023954480380583565,TRADE,0.0,0.0004790896076116372,"edge +0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 10:15:00,63219.31,63269.99,True,momentum,,0.5000461275255293,0.5,4.612752552934918e-05,SIT_OUT,0.0,9.225505105878391e-05,sit out: volatility regime,,0.0,0.0
2026-02-24 10:30:00,63269.99,63205.91,False,momentum,,0.5001707221396122,0.5,0.0001707221396122227,SIT_OUT,0.0,0.0003414442792245092,sit out: volatility regime,,0.0,0.0
2026-02-24 10:45:00,63205.92,63284.5,True,momentum,,0.4998308466752969,0.5,-0.0001691533247030752,SIT_OUT,0.0,-0.00033830664940620315,sit out: volatility regime,,0.0,0.0
2026-02-24 11:00:00,63284.51,63197.35,False,momentum,,0.500189953205938,0.5,0.00018995320593795384,SIT_OUT,0.0,0.00037990641187585455,sit out: volatility regime,,0.0,0.0
2026-02-24 11:15:00,63197.35,63170.01,False,momentum,,0.49981267190936407,0.5,-0.0001873280906359298,SIT_OUT,0.0,-0.0003746561812718413,sit out: volatility regime,,0.0,0.0
2026-02-24 11:30:00,63170.01,63201.35,True,momentum,,0.4998746452129592,0.5,-0.00012535478704078784,TRADE,0.0,-0.0002507095740815825,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-24 11:45:00,63201.34,63227.1,True,momentum,,0.500159163399465,0.5,0.00015916339946497882,SIT_OUT,0.0,0.0003183267989299792,sit out: volatility regime,,0.0,0.0
2026-02-24 12:00:00,63227.11,63264.4,True,momentum,,0.5000458733724873,0.5,4.587337248729284e-05,SIT_OUT,0.0,9.174674497455879e-05,sit out: volatility regime,,0.0,0.0
2026-02-24 12:15:00,63264.39,63324.02,True,momentum,,0.5003208591747561,0.5,0.00032085917475610515,SIT_OUT,0.0,0.000641718349512287,sit out: volatility regime,,0.0,0.0
2026-02-24 12:30:00,63324.03,63113.58,False,momentum,,0.500300478358822,0.5,0.00030047835882196505,SIT_OUT,0.0,0.0006009567176438473,sit out: volatility regime,,0.0,0.0
2026-02-24 12:45:00,63113.58,62969.05,False,momentum,DOWN,0.4994538945659994,0.5,-0.0005461054340005767,TRADE,0.0,-0.0010922108680011223,edge -0.001 < -threshold 0.000,True,10.0,10.0
